gate_id	route	guard	family_type	syntax	r_bridge_status	drmjl_status	message_pattern	review_due	evidence_url	action	evidence	issue
base_weights	base	weights	gaussian	weights = ...	intentional_error	unsupported payload	weights	before 0.2.0 bridge promotion	https://github.com/itchyshin/drmTMB/issues/544	error	DRM.jl bridge payload has no weights slot.	drmTMB#544
base_impute	base	impute	gaussian	impute supplied without missing = miss_control(predictor = "model")	intentional_error	joint payload requires predictor=model and an additive mi term	predictor.*model	before 0.2.0 bridge promotion	https://github.com/itchyshin/drmTMB/issues/544	error	The joint Gaussian/Bernoulli predictor payload is admitted only with complete model specification.	drmTMB#544
base_control	base	control	gaussian	control = drm_control(optimizer = list(iter.max = ...))	intentional_error	Julia supports only g_tol and algorithm controls	does not support .*control	before 0.2.0 bridge promotion	https://github.com/itchyshin/drmTMB/issues/544	error	The public Julia bridge accepts drm_control(optimizer = list(g_tol = ..., algorithm = ...)); TMB-only controls and iteration caps refuse before JuliaCall.	drmTMB#544
base_missing_predictor_model	base	missing predictor	gaussian	missing = miss_control(predictor = "model") without a matching impute model	intentional_error	joint payload requires an explicit matching impute model	impute	before 0.2.0 bridge promotion	https://github.com/itchyshin/drmTMB/issues/544	error	Modelled predictors require a matching impute entry; unsupported families remain separate gaps.	drmTMB#544
base_missing_response_nongaussian	base	missing response	poisson	missing = miss_control(response = "include") with poisson()	intentional_error	not audited for non-Gaussian masks	missing.*route	before 0.2.0 bridge promotion	https://github.com/itchyshin/drmTMB/issues/544	error	Observed-response masks are admitted only for Gaussian bridge cells.	drmTMB#544
biv_invalid_partial_phylo	bivariate_phylo	invalid partial bivariate phylo	biv_gaussian	bivariate phylo on only one axis or on three axes	intentional_error	bivariate phylo route admits q2 mu1/mu2 or q4 all four axes only	requires either q2.*mu1/mu2|q4 all-four-axis|Missing phylogenetic axis	before 0.2.0 bridge promotion	https://github.com/itchyshin/drmTMB/issues/544	error	DRM.jl bivariate phylo bridge expects either q2 terms on mu1/mu2 or q4 terms on mu1, mu2, sigma1, and sigma2.	drmTMB#544
biv_rho12_phylo	bivariate_phylo	rho12 phylo	biv_gaussian	phylo() term in rho12	intentional_error	unsupported q4 PLSM axis	Unsupported phylogenetic axis	before 0.2.0 bridge promotion	https://github.com/itchyshin/drmTMB/issues/544	error	DRM.jl q4 PLSM does not take a phylogenetic residual-correlation axis.	drmTMB#544
structured_unsupported_family	structured	structured family	beta	relmat() with beta()	intentional_error	general-covariance route is narrower than R grammar	only for univariate Gaussian, Poisson, NB2, or Gamma	before 0.2.0 bridge promotion	https://github.com/itchyshin/drmTMB/issues/544	error	DRM.jl general-covariance bridge is limited to Gaussian, Poisson, NB2, and Gamma.	drmTMB#544
structured_sigma_predictor	structured	structured sigma	gaussian	structured relmat() with sigma ~ x	intentional_error	general-covariance route is narrower than R grammar	requires .*sigma ~ 1	before 0.2.0 bridge promotion	https://github.com/itchyshin/drmTMB/issues/544	error	DRM.jl general-covariance bridge currently requires sigma ~ 1.	drmTMB#544
structured_precision_slot	structured	structured matrix slot	gaussian	relmat(..., Q = Q)	intentional_error	covariance matrix route only	only with a covariance matrix supplied as .*K	before 0.2.0 bridge promotion	https://github.com/itchyshin/drmTMB/issues/544	error	DRM.jl bridge consumes covariance/relatedness matrices, not precision slots.	drmTMB#544
xfam_missing_route	cross_family	cross-family missing	gaussian+poisson	cross-family response missingness	intentional_error	cross-family route requires complete axes	missing.*routes	before 0.2.0 bridge promotion	https://github.com/itchyshin/gllvmTMB/issues/488	error	Cross-family bridge currently drops missing rows and requires complete axes.	drmTMB#544
xfam_rho12_formula	cross_family	cross-family rho12	gaussian+poisson	cross-family rho12 formula	intentional_error	latent rho route only	rho12.*not wired	before 0.2.0 bridge promotion	https://github.com/itchyshin/gllvmTMB/issues/488	error	Cross-family dependence is latent rho from the engine, not an R rho12 formula.	drmTMB#544
xfam_dispersionless_sigma	cross_family	cross-family dispersion	gaussian+poisson	cross-family sigma formula on dispersionless axis	intentional_error	dispersionless axis	cannot fit .*sigma2.*dispersion	before 0.2.0 bridge promotion	https://github.com/itchyshin/gllvmTMB/issues/488	error	Poisson and Binomial cross-family axes have no dispersion sub-model.	drmTMB#544
structured_marker_slope	structured	structured marker non-intercept slope	gamma	phylo(1 + x | g) / relmat(1 + x | g) / animal(1 + x | g) / spatial(1 + x | g)	intentional_error	Gaussian phylo(1 + x | g) is FIT by DRM.jl since its #620; every other family and marker is still refused there (DRM.jl#621), so the Gaussian refusal is drmTMB's own	cannot fit a random slope	before 0.2.0 bridge promotion	https://github.com/itchyshin/drmTMB/issues/1146	error	Verified live at the pin (430ef64cc, 2026-09-05): bf(y ~ phylo(1 + x | species, tree = tree)), family = Gamma(link = "log"), engine = "julia" reaches DRM.jl and DRM.jl's own _check_phylo_re_lhs throws "phylo(1 + x | species) is not implemented on the univariate routes -- only phylo(1 | species) (intercept) is" (DRM.jl#620/#621). This R-side gate moves that same refusal before Julia boots, defense-in-depth (drmTMB#1146), so it holds even if a future change to the more specific per-route checks reopens the gap. RE-MEASURED 2026-09-05 at DRM.jl 345892520 (origin/main): the DRM.jl half of that sentence is NOW STALE FOR GAUSSIAN. DRM.jl 1a041d089 (its #644) implements the Gaussian two-SD phylogenetic random slope and widens _bridge_render_formula_block (src/bridge.jl); its test/test_phylo_slope_two_sd.jl was re-run in that session and passes 51 of 51 assertions in 21.5 s, including a same-target drmTMB oracle. So for family = gaussian() this gate is drmTMB's OWN fence, not the engine's: drm_julia_marker_slope_pin_supports() is still FALSE and drm_julia_phylo_payload() admits the slope shape only for drm_julia_slope_phylo_families() (nbinom2, poisson, gamma, beta), which route to DRM.jl's CORRELATED _fit_corr_locscale rather than the INDEPENDENT two-SD model #620 added. Lifting it is a route-widening (registry column + a family-aware pin switch + sdpars/corpars translation for the two-SD block), not a one-line flip. Measured refusal, with a positive control that fitted, at DRM.jl@345892520:docs/dev-log/evidence/parity-classc.tsv (cell_id gaussian_phylo_slope_fence).	drmTMB#544
fe_only_random_effects	fe_only	fe-only random effect / sd submodel	student+lognormal+truncated_nbinom2+zero_one_beta+tweedie+beta_binomial+cumulative_logit+skew_normal	(1 | g) / (1 + x | g) / sd(g) ~ ... on a fe = TRUE, non-phylo_only/locscale_phylo/slope_phylo/structured registry family	intentional_error	fixed-effect-only family; no random-effect or sd()/sd_phylo() route in the R bridge yet	only on the .fe.\s+\(fixed-effect\)	before 0.2.0 bridge promotion	https://github.com/itchyshin/drmTMB/issues/544	error	Measured 2026-09-05 with DRM_JL_PATH unset: student(), lognormal(), truncated_nbinom2(), zero_one_beta(), and beta_binomial() random-effect shapes (a mean-side and a scale-side (1 | g), and truncated_nbinom2's (1 + x | g) slope) all reached drm_julia_setup() on origin/main -- the fe = TRUE registry column admits the family before phylo_only/locscale_phylo/slope_phylo/structured are ever checked, so those columns being FALSE for this cohort did not stop the family tag. relmat()/animal()/spatial() markers are NOT part of this gate: they are already refused upstream by drm_julia_structured_family_tag() (measured: student() + relmat(1 | g, K = K) aborts there, before this fence's call site, since drm_julia_has_structured_term() dispatches before drm_julia_family_tag() runs).	drmTMB#544
