vignette,audience,permitted_private_fields,rationale
adding-families.Rmd,contributor,opt,"Contributor test examples may assert optimiser convergence."
animal-models.Rmd,reader,,
bipartite-phylogenetic-interactions.Rmd,reader,,
bivariate-coscale.Rmd,reader,,
bivariate-nongaussian.Rmd,reader,,
capability-and-limits.Rmd,reader,,
comparing-with-other-packages.Rmd,reader,,
convergence.Rmd,reader,,
count-nbinom2.Rmd,reader,,
cross-family.Rmd,reader,,
distribution-families.Rmd,reader,,
distributional-outputs-and-adequacy.Rmd,reader,,
drmTMB.Rmd,reader,,
figure-gallery.Rmd,reader,,
first-week-intervals.Rmd,reader,,
formula-grammar.Rmd,reader,,
function-map-cheatsheet.Rmd,reader,,
implementation-map.Rmd,reader,,
julia-engine.Rmd,reader,,
large-data.Rmd,reader,,
location-scale-scale.Rmd,reader,,
location-scale.Rmd,reader,,
meta-analysis.Rmd,reader,,
missing-data.Rmd,reader,,
model-map.Rmd,reader,,
model-selection.Rmd,reader,,
model-workflow.Rmd,reader,,
phylogenetic-models.Rmd,reader,,
phylogenetic-spatial.Rmd,reader,,
proportion-beta-binomial.Rmd,reader,,
relmat-known-matrices.Rmd,reader,,
robust-student.Rmd,reader,,
simulation-plot-grammar.Rmd,reader,,
source-map.Rmd,contributor,model,"Contributor source map documents the stored processed weights."
spatial-models.Rmd,reader,,
structural-dependence.Rmd,reader,,
testing-likelihoods.Rmd,contributor,model,"Contributor likelihood checks reconstruct values from stored model matrices and response data."
which-scale.Rmd,reader,,
