cell_id	tier	family	dpar	effect	q	est	model_type	discloses	mesh_hint	boundary	next_gate
mc-0107	interval_feasible	biv_gaussian	mu1	structured	q2	ML	2	False	False	interval_feasible only for the named cell x direct q2 structured mu1/mu2 SD target x frozen low-rung estimator-specific fixture using an exact retained unclamped tmbprofile receipt. Coverage, calibration, and bias were not evaluated; this does not establish inference readiness, provider/family/q2-wide support, ML-vs-REML comparison, slopes, sigma, rho, other rungs, or public interval guidance. Animal/relmat ML pairs share numerical DGP realizations and are not independent provider evidence.	Coverage/calibration and any broader q2/provider/estimator claim require a separate pre-registered evidence arc.
mc-0108	interval_feasible	biv_gaussian	mu2	structured	q2	ML	2	False	False	interval_feasible only for the named cell x direct q2 structured mu1/mu2 SD target x frozen low-rung estimator-specific fixture using an exact retained unclamped tmbprofile receipt. Coverage, calibration, and bias were not evaluated; this does not establish inference readiness, provider/family/q2-wide support, ML-vs-REML comparison, slopes, sigma, rho, other rungs, or public interval guidance. Animal/relmat ML pairs share numerical DGP realizations and are not independent provider evidence.	Coverage/calibration and any broader q2/provider/estimator claim require a separate pre-registered evidence arc.
mc-0109	interval_feasible	biv_gaussian	mu1	structured	q2	ML	2	False	False	interval_feasible only for the named campaign cell x exact spatial q2 slope-SD target x frozen 8-site x 20-observation ML DGP using an exact retained unclamped tmbprofile receipt. Its mu1/mu2 slope sibling remains separately evidenced; this does not establish whole-formula, intercept, provider-wide, coverage, calibration, inference-ready, or public-interval support.	Coverage/calibration and any whole-formula or broader spatial-q2 claim require a separate pre-registered evidence arc.
mc-0110	interval_feasible	biv_gaussian	mu2	structured	q2	ML	2	False	False	interval_feasible only for the named campaign cell x exact spatial q2 slope-SD target x frozen 8-site x 20-observation ML DGP using an exact retained unclamped tmbprofile receipt. Its mu1/mu2 slope sibling remains separately evidenced; this does not establish whole-formula, intercept, provider-wide, coverage, calibration, inference-ready, or public-interval support.	Coverage/calibration and any whole-formula or broader spatial-q2 claim require a separate pre-registered evidence arc.
mc-0113	interval_feasible	biv_gaussian	sigma1	structured	q2	ML	2	False	False	interval_feasible only for the named cell x direct structured q2 residual-scale endpoint target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling endpoint, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader structured scale/provider claim require a separate evidence arc.
mc-0114	interval_feasible	biv_gaussian	sigma2	structured	q2	ML	2	False	False	interval_feasible only for the named cell x direct structured q2 residual-scale endpoint target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling endpoint, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader structured scale/provider claim require a separate evidence arc.
mc-0115	interval_feasible	biv_gaussian	mu1	structured	q4	ML	2	False	False	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
mc-0116	interval_feasible	biv_gaussian	mu2	structured	q4	ML	2	False	False	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
mc-0117	interval_feasible	biv_gaussian	sigma1	structured	q4	ML	2	False	False	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
mc-0118	interval_feasible	biv_gaussian	sigma2	structured	q4	ML	2	False	False	interval_feasible only for the named cell x direct q4 provider component target x frozen high-information fixture with one complete retained unclamped tmbprofile receipt. No sibling component, correlation, whole formula, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader q4/provider claim require a separate evidence arc.
