cell_id	evidence_tier	axis	tranche_id	estimator	family_route	dpar	effect_type	structure_provider	primary_evidence_id	primary_evidence_class	primary_run_id	primary_command	primary_replicates	n_evidence_rows	all_evidence_classes	has_interval_receipt	n_distinct_seeds	claim_boundary	next_gate
mc-0001	inference_ready_with_caveats	model_surface	legacy-census	ML	beta	mu	fixed	none	ev-mc-0001-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Wald mean-coefficient intervals calibrated — docs/dev-log/simulation-artifacts/2026-07-09-nongaussian-unstructured-coverage-pilot	Preserve the existing model-surface evidence tier.
mc-0003	inference_ready_with_caveats	model_surface	legacy-census	ML	beta	sigma	fixed	none	ev-mc-0003-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Wald scale-coefficient intervals calibrated for INTERIOR proportions — docs/dev-log/simulation-artifacts/2026-07-09-nongaussian-unstructured-coverage-pilot (phase 2); exact 0/1 need zero_one_beta()	Preserve the existing model-surface evidence tier.
mc-0025	interval_feasible	model_surface	legacy-census	ML	beta_binomial	mu	fixed	none	ev-mc-0025-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"logit(mu)=eta_mu, log(sigma)=eta_sigma, phi=1/sigma^2; beta-binomial log-density built inline in C++ (no shared kernel in src/drm_count_kernels.h). Point-fit recovery test bounds |bias|<0.18 on beta_mu (n=1200); confint() Wald CI computed and asserted (conf.status==""wald"", correct parm/tmb_parameter"	Preserve the existing model-surface evidence tier.
mc-0027	interval_feasible	model_surface	legacy-census	ML	beta_binomial	sigma	fixed	none	ev-mc-0027-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"Same fixed-effect fit as the mu row (single drmTMB() call fits both). Sigma coefficient bias bound |bias|<0.25 (n=1200); confint() returns ""fixef:sigma:(Intercept)""/""fixef:sigma:z"" rows with tmb_parameter=""beta_sigma"" and conf.status==""wald""."	Preserve the existing model-surface evidence tier.
mc-0029	interval_feasible	model_surface	legacy-census	ML	beta_binomial	mu	ordinary_re_intercept	none	ev-mc-0029-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"Independent unlabelled `(1 | id)` only. profile_targets() row ""sd:mu:(1 | id)"" has profile_ready=TRUE; random-intercept recovery cor(id_effects, truth)>0.40; sdpars$mu SD point estimate within 0.35 of truth (n_id=52, n_each=10). Phase18 bounded-response-mu-random-intercept smoke (tests/testthat/test"	Preserve the existing model-surface evidence tier.
mc-0031	interval_feasible	model_surface	legacy-census	ML	beta_binomial	mu	ordinary_re_slope	none	ev-mc-0031-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	"Independent unlabelled `(0 + x | id)` only. profile_targets() confirms a ""sd:mu:(0 + x | id)"" row exists; recovery |cor(slope_effects, truth)|>0.25 (n_id=26, n_each=8; loose tolerance by design of this shared cross-family test); check_drm() mu_random_effect_replication and mu_random_effect_design bo"	Preserve the existing model-surface evidence tier.
mc-0057	inference_ready_with_caveats	model_surface	legacy-census	ML	binomial	mu	fixed	none	ev-mc-0057-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	Wald mean-coefficient intervals calibrated (finite-rate 1.0, near-nominal incl. rare-event stress) — docs/dev-log/simulation-artifacts/2026-07-09-nongaussian-unstructured-coverage-pilot	Preserve the existing model-surface evidence tier.
mc-0069	supported	model_surface	legacy-census	ML	biv_gaussian	mu1	ordinary_re_intercept	none	ev-mc-0069-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	cell_id=qseries_ordinary_q2_mu1_mu2_intercept; formula: (1 | p | id) in mu1 and mu2; fit_status=supported, extractor=extractor_ready, bridge=unsupported, interval=interval_feasible, coverage=planned; board notation: ordinary q2 cross-endpoint covariance block (mu1+mu2). not_coverage_evidence	Preserve the existing model-surface evidence tier.
mc-0070	supported	model_surface	legacy-census	ML	biv_gaussian	mu2	ordinary_re_intercept	none	ev-mc-0070-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	cell_id=qseries_ordinary_q2_mu1_mu2_intercept; formula: (1 | p | id) in mu1 and mu2; fit_status=supported, extractor=extractor_ready, bridge=unsupported, interval=interval_feasible, coverage=planned; board notation: ordinary q2 cross-endpoint covariance block (mu1+mu2). not_coverage_evidence	Preserve the existing model-surface evidence tier.
mc-0085	inference_ready_with_caveats	model_surface	legacy-census	ML	biv_gaussian	mu1	structured	phylo	ev-mc-0085-legacy	legacy_model_evidence				1	legacy_model_evidence	no	0	cell_id=qseries_phylo_q2_mu1_mu2_one_slope; formula: phylo(0 + x | p | species, tree = tree) in mu1 and mu2; fit_status=point_fit, extractor=extractor_ready, bridge=fixture_parity, interval=inference_ready, coverage=inference_ready; structured q2 block (mu1+mu2). The default interval for the exact s	Preserve the existing model-surface evidence tier.
