cell_id	evidence_tier	axis	tranche_id	estimator	family_route	dpar	effect_type	structure_provider	primary_evidence_id	primary_evidence_class	primary_run_id	primary_command	primary_replicates	n_evidence_rows	all_evidence_classes	has_interval_receipt	n_distinct_seeds	claim_boundary	next_gate
as-0001	interval_feasible	association	arc6-association	two_stage_Godambe	gaussian_bernoulli	alpha	fixed	none	ev-as-0001-godambe	estimator_diagnostic	arc6-public-alpha-intervals	"R_PROFILE_USER=/dev/null Rscript --no-init-file -e 'devtools::test(filter = ""associate-pairs-(arc6-integration|gaussian-nb2|general-sandwich)"")'"		1	estimator_diagnostic	no	0	Fixed-effect complete-pair Gaussian x literal-Bernoulli latent-normal association with association = ~ 1. Public vcov() and confint() report alpha-scale Godambe-Wald uncertainty when fit-specific covariance diagnostics pass. Coverage is not yet calibrated, so the method warns that the interval is ex	Run a route-specific retained coverage campaign to consider inference_ready_with_caveats.
as-0002	interval_feasible	association	arc6-association	two_stage_Godambe	gaussian_nbinom2	alpha	fixed	none	ev-as-0002-godambe	estimator_diagnostic	arc6-public-alpha-intervals	"R_PROFILE_USER=/dev/null Rscript --no-init-file -e 'devtools::test(filter = ""associate-pairs-(arc6-integration|gaussian-nb2|general-sandwich)"")'"		1	estimator_diagnostic	no	0	Fixed-effect complete-pair Gaussian x ordinary-NB2 latent-normal association with association = ~ 1. Public vcov() and confint() report alpha-scale Godambe-Wald uncertainty when fit-specific covariance diagnostics pass. Coverage is not yet calibrated, so the method warns that the interval is experim	Run a route-specific retained coverage campaign to consider inference_ready_with_caveats.
as-0003	interval_feasible	association	arc6-association	two_stage_Godambe	bernoulli_bernoulli	alpha	fixed	none	ev-as-0003-godambe	estimator_diagnostic	arc6-public-alpha-intervals	"R_PROFILE_USER=/dev/null Rscript --no-init-file -e 'devtools::test(filter = ""associate-pairs-(arc6-integration|general-sandwich)"")'"		1	estimator_diagnostic	no	0	Fixed-effect complete-pair literal-Bernoulli x literal-Bernoulli latent-normal association with association = ~ 1. Public vcov() and confint() report alpha-scale Godambe-Wald uncertainty when fit-specific covariance diagnostics pass. The retained recovery campaign remains HOLD, so this is interval-m	Revisit point recovery and run a retained coverage campaign before any inference-ready promotion.
as-0004	inference_ready_with_caveats	association	arc6-association	two_stage_Godambe	bernoulli_nbinom2	alpha	fixed	none	ev-as-0004-f4r-coverage	coverage_study	17603598	Frozen Rorqual F4R replacement array; 16 cells x 1,000 attempts	16000	1	coverage_study	no	0	Fixed-effect complete-pair literal-Bernoulli x ordinary-NB2 latent-normal association with association = ~ 1. Public vcov() and confint() report alpha-scale Godambe-Wald uncertainty. The retained 16-cell high-information F4R campaign (n = 480 or 960; 16,000 attempts) passed bias, availability, SE/SD	Broaden calibrated domains and remove material caveats before considering supported.
as-0005	interval_feasible	association	arc6-association	two_stage_Godambe	bernoulli_nbinom2	alpha	fixed	none	ev-as-0005-godambe	estimator_diagnostic	arc6-public-alpha-intervals	"R_PROFILE_USER=/dev/null Rscript --no-init-file -e 'devtools::test(filter = ""associate-pairs-staged-sandwich"")'"		1	estimator_diagnostic	no	0	Fixed-effect complete-pair literal-Bernoulli x ordinary-NB2 latent-normal association regression with an admitted intercept-bearing fixed-effect association formula. Public vcov() returns the full alpha coefficient covariance and confint() returns coefficient-wise alpha-scale Godambe-Wald intervals 	Run a slope-specific retained coverage campaign to consider inference_ready_with_caveats.
as-0006	interval_feasible	association	arc6-association	two_stage_Godambe	nbinom2_nbinom2	alpha	fixed	none	ev-as-0006-godambe	estimator_diagnostic	arc6-public-alpha-intervals	"R_PROFILE_USER=/dev/null Rscript --no-init-file -e 'devtools::test(filter = ""associate-pairs-(arc6-integration|general-sandwich)"")'"		1	estimator_diagnostic	no	0	Fixed-effect complete-pair ordinary-NB2 x ordinary-NB2 latent-normal association with association = ~ 1. Public vcov() and confint() report alpha-scale Godambe-Wald uncertainty when fit-specific covariance diagnostics pass. Coverage is not yet calibrated, so the method warns that the interval is exp	Run a route-specific retained coverage campaign to consider inference_ready_with_caveats.
mc-0017	inference_ready_with_caveats	model_surface	beta-phylo-q1-interior-dgp	ML	beta	mu	structured	phylo	ev-mc-0017-arc-coverage	coverage_study	fir def-snakagaw_cpu SLURM array 49348332 (1-816%400) + aggregation 49348333	sbatch --parsable coverage-out/scripts/cov_array.sh (job 49348332, array 1-816%400, fir def-snakagaw_cpu); aggregation job 49348333 submitted --dependency=afterok:49348332; harness tools/run-beta-phylo-q1-sd-coverage.R; full launch detail in fir-campaign/s3-launch.md; seed-audit sha256 1c67e66be2e348efc565ace523e84cae017a5e3845747b25ebd7da49dfbf33f6.	14,400 attempts across 12 cells; 1,200 per cell (2 promotion arms + 10 context cells, including the shared_g256_m02 HOLD)	7	contract_test|coverage_study|estimator_diagnostic|legacy_model_evidence|model_recovery	no	0	S5 promotion ratified (D-43 round 2 passed; maintainer PR review 2026-07-19), scored under the frozen 2026-07-17 estimand/interval/coverage contract on the unchanged machine-strict conditional-Beta interior DGP. Leading with the worst-in-arm result per the frozen S0 section 5.3 rule: shared_g1024_m0	A broader coverage/bias evidence base (additional predictor designs, g/m combinations away from the exact g=1024,m=4 arms, or a bias-corrected interval) is required before expanding beyond the exact t
mc-0061	inference_ready_with_caveats	model_surface	legacy-census	ML	binomial	mu	ordinary_re_slope	none	ev-mc-0061-arc4a	coverage_study	Totoro arc4a-iid-v2-20260713-0720	"OPENBLAS_NUM_THREADS=1 DRMTMB_REPO=""$PWD"" NSIM=1200 MS=8,16,32,64 NCORES=64 OUTPUT_DIR=/home/snakagaw/drmTMB_work/arc4a-iid-v2-20260713-0720 Rscript --no-init-file docs/dev-log/simulation-artifacts/2026-07-12-dg3-re-sd-coverage/generate-profile.R"	4800 total; 2400 claimed domain	3	coverage_study|legacy_model_evidence|model_recovery	no	0	Arc 4a iid-v2: the independent binomial mu random slope via ML-Laplace has coverage-backed profile intervals at true SD 0.6, 12 observations per group, 12 trials per observation and exactly M={32,64}: 1139/1200=0.9492 (MCSE 0.00634; exact 95% CI 0.9352-0.9609) and 1143/1200=0.9525 (MCSE 0.00614; exa	Broader iid coverage and bias evidence is required before expanding beyond the exact tested M={32,64} domain or the inference_ready_with_caveats tier.
mc-0102	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu2	structured	phylo	ev-mc-0102-b3-q6-mu2-interval	estimator_diagnostic	b3-q6-mu2-mc-0102	Rscript --no-init-file tools/audit-b2-q6-serial-proof-cohort.R --authorization=docs/dev-log/interval-campaign-bindings/2026-07-31-b2-q6-proof-serial-approved-execution-authorization.tsv	1	2	estimator_diagnostic|legacy_model_evidence	yes	1	One named direct mu2 response-SD target x frozen high_n72_each20 fixture x seed 20260731 x retained serial receipt only; no sibling target, whole-q6, provider-wide, coverage, calibration, inference-ready, supported, REML, alternate fixture/seed, or public-support claim.	Coverage and calibration for this same named target only; no whole-q6 inheritance.
mc-0124	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu2	structured	spatial	ev-mc-0124-b3-q6-mu2-interval	estimator_diagnostic	b3-q6-mu2-mc-0124	Rscript --no-init-file tools/audit-b2-q6-serial-proof-cohort.R --authorization=docs/dev-log/interval-campaign-bindings/2026-07-31-b2-q6-proof-serial-approved-execution-authorization.tsv	1	2	estimator_diagnostic|legacy_model_evidence	yes	1	One named direct mu2 response-SD target x frozen high_n72_each20 fixture x seed 20260731 x retained serial receipt only; no sibling target, whole-q6, provider-wide, coverage, calibration, inference-ready, supported, REML, alternate fixture/seed, or public-support claim.	Coverage and calibration for this same named target only; no whole-q6 inheritance.
