"lane_id","workflow_lane","family_group","family_route","dpar","dependence","block_q","admission_status","existing_actions_task","next_autonomous_action","supervision_boundary"
"gaussian_fixed_location_scale","family_surface","continuous_gaussian","gaussian()","mu;sigma","none","fixed_effect","ready_grid","first_wave_summary","Keep in first-wave summaries and check artifact coverage before larger grids","None unless likelihood parameterization changes"
"gaussian_ordinary_mu_slopes","random_slopes","continuous_gaussian","gaussian()","mu","ordinary_group","q_gt_2_location_slopes","ready_grid","first_wave_summary","Add a random-slope wrapper row that dispatches admitted ordinary Gaussian slope smokes","Do not promote larger q correlations to interval-ready"
"gaussian_sigma_independent_slopes","random_slopes","continuous_gaussian","gaussian()","sigma","ordinary_group","independent_sigma_slope","ready_grid","first_wave_summary","Keep independent sigma-slope rows separate from correlated residual-scale slope requests","Correlated or labelled residual-scale slope covariance needs design"
"gaussian_mu_sigma_covariance","correlation_blocks","continuous_gaussian","gaussian()","mu;sigma","ordinary_group","q2_mean_scale_intercept","ready_grid","interval_heavy_summary","Route direct q2 mean-scale rows through the correlation-block wrapper","Slope-level mean-scale covariance needs design"
"bivariate_gaussian_rho12","correlation_blocks","bivariate_gaussian","biv_gaussian()","rho12","residual","residual_coscale","ready_grid","interval_heavy_summary","Keep residual rho12 separate from group and structured corpairs rows","No random effects in rho12 without a design gate"
"bivariate_gaussian_group_q2","correlation_blocks","bivariate_gaussian","c(gaussian(), gaussian())","mu1;mu2;sigma1;sigma2","ordinary_group","selected_q2_corpairs","ready_grid","interval_heavy_summary","Dispatch q2 direct rows only when profile targets are available","Broader slope-level covariance remains closed"
"bivariate_gaussian_group_q4","correlation_blocks","bivariate_gaussian","c(gaussian(), gaussian())","mu1;mu2;sigma1;sigma2","ordinary_group","q4_intercept_corpairs","diagnostic_only","correlation_block_status","Report point estimates and derived-unavailable intervals in registry reports","Do not call q4 correlations interval-ready"
"bivariate_gaussian_scale_q2","correlation_blocks","bivariate_gaussian","biv_gaussian()","sigma1;sigma2","ordinary_group","q2_scale_intercept","ready_grid","biv_gaussian_q2_scale","Run the q2 scale-intercept covariance smoke grid before any recovery or coverage claim","Residual-scale random slopes same-response location-scale covariance random rho12 and q8 endpoints need design"
"bivariate_gaussian_scale_q2_recovery","correlation_blocks","bivariate_gaussian","biv_gaussian()","sigma1;sigma2","ordinary_group","q2_scale_intercept_recovery","ready_grid","biv_gaussian_q2_scale_recovery","Run the q2 scale-intercept recovery grid to report bias coverage and MCSE for the two scale SDs and the scale-scale correlation","Wald coverage applies to fixed-effect endpoints only; SD and scale-scale correlation intervals stay derived_interval_unavailable"
"bivariate_gaussian_slope_only","random_slopes","bivariate_gaussian","c(gaussian(), gaussian())","mu1;mu2","ordinary_group","q2_slope_only","ready_grid","biv_gaussian_mu_slope","Run the small slope-only bivariate Gaussian smoke grid before any broader slope claim","Q4 and q6 location have their own smoke routes; p8/q8 needs design"
"bivariate_gaussian_slope_only_recovery","random_slopes","bivariate_gaussian","c(gaussian(), gaussian())","mu1;mu2","ordinary_group","q2_slope_only_recovery","ready_grid","biv_gaussian_mu_slope_recovery","Run the slope-only recovery grid to report bias coverage and MCSE for the two slope SDs and the slope-slope correlation","Wald coverage applies to fixed-effect endpoints only; SD and slope-slope correlation intervals stay derived_interval_unavailable"
"bivariate_gaussian_q4_location","random_slopes","bivariate_gaussian","c(gaussian(), gaussian())","mu1;mu2","ordinary_group","q4_location_one_slope","ready_grid","biv_gaussian_q4_location","Run the q4 location smoke grid before any recovery or coverage claim","Q6 location has a separate smoke route; residual-scale slopes random rho12 and p8/q8 need design"
"bivariate_gaussian_q4_location_recovery","random_slopes","bivariate_gaussian","c(gaussian(), gaussian())","mu1;mu2","ordinary_group","q4_location_one_slope_recovery","ready_grid","biv_gaussian_q4_location_recovery","Run the q4 location recovery grid to report bias coverage and MCSE for the four location SDs and six location correlations","Wald coverage applies to fixed-effect endpoints only; SD and location correlation intervals stay derived_interval_unavailable"
"bivariate_gaussian_q6_location","random_slopes","bivariate_gaussian","c(gaussian(), gaussian())","mu1;mu2","ordinary_group","q6_location_two_slope","ready_grid","biv_gaussian_q6_location","Run the q6 location smoke grid before any recovery or coverage claim","Residual-scale slopes same-response location-scale covariance random rho12 and p8/q8 need design"
"bivariate_gaussian_q6_location_recovery","random_slopes","bivariate_gaussian","c(gaussian(), gaussian())","mu1;mu2","ordinary_group","q6_location_two_slope_recovery","ready_grid","biv_gaussian_q6_location_recovery","Run the q6 location recovery grid to report bias coverage and MCSE for the six location SDs and fifteen location correlations","Wald coverage applies to fixed-effect endpoints only; SD and location correlation intervals stay derived_interval_unavailable"
"bivariate_gaussian_q8_endpoint","random_slopes","bivariate_gaussian","c(gaussian(), gaussian())","mu1;mu2;sigma1;sigma2","ordinary_group","q8_all_endpoint_location_scale_slope","design_only","none","Keep q8 as a registry-visible pre-code gate until endpoint labels covariance structure diagnostics and simulation requirements are accepted","No Actions task likelihood code or status promotion before q2 scale slope and same-response location-scale slope evidence"
"gaussian_phylo_mu_one_slope","structured_dependence","continuous_gaussian","gaussian()","mu","phylo","q1_intercept_or_one_slope","ready_grid","phylo_mu_slope","Run the small phylogenetic Gaussian one-slope smoke grid before any recovery claim","Multiple phylo slopes and slope correlations need design"
"gaussian_spatial_mu_one_slope","structured_dependence","continuous_gaussian","gaussian()","mu","spatial","q1_intercept_or_one_slope","ready_grid","spatial_mu_slope","Group Gaussian coordinate-spatial one-slope rows with q2 spatial rows","Mesh SPDE multiple slopes and spatial slope correlations need design"
"gaussian_animal_mu_one_slope","structured_dependence","continuous_gaussian","gaussian()","mu","animal","q1_intercept_or_one_slope","ready_grid","animal_mu_slope","Run the small dense-pedigree animal Gaussian one-slope smoke grid before any recovery claim","Sparse large-pedigree speed claims need benchmark and recovery evidence"
"gaussian_relmat_mu_one_slope","structured_dependence","continuous_gaussian","gaussian()","mu","relmat","q1_intercept_or_one_slope","ready_grid","relmat_mu_slope","Run the small known-matrix relmat Gaussian one-slope smoke grid before any recovery claim","Generic direct-SD naming and large-matrix claims need design"
"structured_gaussian_q2","correlation_blocks","continuous_gaussian","gaussian();biv_gaussian()","mu1;mu2","phylo;spatial;animal;relmat","q2_structured_corpairs","ready_or_smoke","correlation_block_status","Report q2 structured rows with layer-specific interval provenance","Do not merge structured correlations with residual rho12"
"structured_gaussian_q4","correlation_blocks","continuous_gaussian","gaussian();biv_gaussian()","mu1;mu2;sigma1;sigma2","phylo;spatial;animal;relmat","q4_structured_corpairs","diagnostic_only","correlation_block_status","Keep q4 rows visible as fitted smoke or diagnostic point-estimate rows","Derived q4 intervals need a separate method and tests"
"poisson_mu_random_effects","random_slopes","counts","poisson(link = ""log"")","mu","ordinary_group","intercept_and_independent_slope","ready_grid","first_wave_summary","Keep ordinary Poisson mu random-effect grids small and auditable","Zero-inflated or labelled count covariance needs design"
"nbinom2_mu_random_effects","random_slopes","counts","nbinom2()","mu","ordinary_group","intercept_and_independent_slope","ready_grid","first_wave_summary","Keep ordinary NB2 mu random-effect grids small and auditable","Joint mu-sigma or labelled count covariance needs design"
